2026-05-23 07:35:18,277 | WARNING  | market_data.rejections | reject          | [FIELD] CAPITALNUM:ratios.currentRatio (balance) - Current ratio outside bounds (0-20): 30.55
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | ✓ CAPITALNUM complete
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | Progress: 17/97 (17.5%) - Current: CDSL
2026-05-23 07:35:18,277 | DEBUG    | market_data.transformation | transform       | Transforming CDSL
2026-05-23 07:35:18,277 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [CDSL]
2026-05-23 07:35:18,277 | INFO     | market_data.signals  | generate_signal | [CDSL] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | ✓ CDSL complete
2026-05-23 07:35:18,277 | INFO     | market_data.processor | process         | Progress: 18/97 (18.6%) - Current: CELLO
2026-05-23 07:35:18,277 | DEBUG    | market_data.transformation | transform       | Transforming CELLO
2026-05-23 07:35:18,278 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [CELLO]
2026-05-23 07:35:18,278 | INFO     | market_data.signals  | generate_signal | [CELLO] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,278 | INFO     | market_data.processor | process         | ✓ CELLO complete
2026-05-23 07:35:18,278 | INFO     | market_data.processor | process         | Progress: 19/97 (19.6%) - Current: CIGNITITEC
2026-05-23 07:35:18,278 | DEBUG    | market_data.transformation | transform       | Transforming CIGNITITEC
2026-05-23 07:35:18,278 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [CIGNITITEC]
2026-05-23 07:35:18,278 | INFO     | market_data.signals  | generate_signal | [CIGNITITEC] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,278 | INFO     | market_data.processor | process         | ✓ CIGNITITEC complete
2026-05-23 07:35:18,278 | INFO     | market_data.processor | process         | Progress: 20/97 (20.6%) - Current: COCHINSHIP
2026-05-23 07:35:18,278 | DEBUG    | market_data.transformation | transform       | Transforming COCHINSHIP
2026-05-23 07:35:18,278 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [COCHINSHIP]
2026-05-23 07:35:18,278 | INFO     | market_data.signals  | generate_signal | [COCHINSHIP] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,278 | INFO     | market_data.processor | process         | ✓ COCHINSHIP complete
2026-05-23 07:35:18,279 | INFO     | market_data.processor | process         | Progress: 21/97 (21.6%) - Current: COFORGE
2026-05-23 07:35:18,279 | DEBUG    | market_data.transformation | transform       | Transforming COFORGE
2026-05-23 07:35:18,279 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [COFORGE]
2026-05-23 07:35:18,279 | INFO     | market_data.signals  | generate_signal | [COFORGE] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,279 | INFO     | market_data.processor | process         | ✓ COFORGE complete
2026-05-23 07:35:18,279 | INFO     | market_data.processor | process         | Progress: 22/97 (22.7%) - Current: DATAMATICS
2026-05-23 07:35:18,279 | DEBUG    | market_data.transformation | transform       | Transforming DATAMATICS
2026-05-23 07:35:18,279 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [DATAMATICS]
2026-05-23 07:35:18,279 | INFO     | market_data.signals  | generate_signal | [DATAMATICS] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,279 | INFO     | market_data.processor | process         | ✓ DATAMATICS complete
2026-05-23 07:35:18,279 | INFO     | market_data.processor | process         | Progress: 23/97 (23.7%) - Current: DATAPATTNS
2026-05-23 07:35:18,279 | DEBUG    | market_data.transformation | transform       | Transforming DATAPATTNS
2026-05-23 07:35:18,279 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [DATAPATTNS]
2026-05-23 07:35:18,279 | INFO     | market_data.signals  | generate_signal | [DATAPATTNS] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,279 | INFO     | market_data.processor | process         | ✓ DATAPATTNS complete
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | Progress: 24/97 (24.7%) - Current: DRREDDY
2026-05-23 07:35:18,280 | DEBUG    | market_data.transformation | transform       | Transforming DRREDDY
2026-05-23 07:35:18,280 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [DRREDDY]
2026-05-23 07:35:18,280 | INFO     | market_data.signals  | generate_signal | [DRREDDY] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | ✓ DRREDDY complete
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | Progress: 25/97 (25.8%) - Current: ENGINERSIN
2026-05-23 07:35:18,280 | DEBUG    | market_data.transformation | transform       | Transforming ENGINERSIN
2026-05-23 07:35:18,280 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [ENGINERSIN]
2026-05-23 07:35:18,280 | INFO     | market_data.signals  | generate_signal | [ENGINERSIN] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | ✓ ENGINERSIN complete
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | Progress: 26/97 (26.8%) - Current: FINCABLES
2026-05-23 07:35:18,280 | DEBUG    | market_data.transformation | transform       | Transforming FINCABLES
2026-05-23 07:35:18,280 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [FINCABLES]
2026-05-23 07:35:18,280 | INFO     | market_data.signals  | generate_signal | [FINCABLES] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | ✓ FINCABLES complete
2026-05-23 07:35:18,280 | INFO     | market_data.processor | process         | Progress: 27/97 (27.8%) - Current: GESHIP
2026-05-23 07:35:18,281 | DEBUG    | market_data.transformation | transform       | Transforming GESHIP
2026-05-23 07:35:18,281 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [GESHIP]
2026-05-23 07:35:18,281 | INFO     | market_data.signals  | generate_signal | [GESHIP] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,281 | INFO     | market_data.processor | process         | ✓ GESHIP complete
2026-05-23 07:35:18,281 | INFO     | market_data.processor | process         | Progress: 28/97 (28.9%) - Current: GRSE
2026-05-23 07:35:18,281 | DEBUG    | market_data.transformation | transform       | Transforming GRSE
2026-05-23 07:35:18,281 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [GRSE]
2026-05-23 07:35:18,281 | INFO     | market_data.signals  | generate_signal | [GRSE] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,281 | INFO     | market_data.processor | process         | ✓ GRSE complete
2026-05-23 07:35:18,281 | INFO     | market_data.processor | process         | Progress: 29/97 (29.9%) - Current: HAL
2026-05-23 07:35:18,281 | DEBUG    | market_data.transformation | transform       | Transforming HAL
2026-05-23 07:35:18,281 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HAL]
2026-05-23 07:35:18,281 | INFO     | market_data.signals  | generate_signal | [HAL] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,281 | INFO     | market_data.processor | process         | ✓ HAL complete
2026-05-23 07:35:18,281 | INFO     | market_data.processor | process         | Progress: 30/97 (30.9%) - Current: HBLENGINE
2026-05-23 07:35:18,282 | DEBUG    | market_data.transformation | transform       | Transforming HBLENGINE
2026-05-23 07:35:18,282 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HBLENGINE]
2026-05-23 07:35:18,282 | INFO     | market_data.signals  | generate_signal | [HBLENGINE] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,282 | INFO     | market_data.processor | process         | ✓ HBLENGINE complete
2026-05-23 07:35:18,282 | INFO     | market_data.processor | process         | Progress: 31/97 (32.0%) - Current: HCLTECH
2026-05-23 07:35:18,282 | DEBUG    | market_data.transformation | transform       | Transforming HCLTECH
2026-05-23 07:35:18,282 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HCLTECH]
2026-05-23 07:35:18,282 | INFO     | market_data.signals  | generate_signal | [HCLTECH] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,282 | INFO     | market_data.processor | process         | ✓ HCLTECH complete
2026-05-23 07:35:18,282 | INFO     | market_data.processor | process         | Progress: 32/97 (33.0%) - Current: HDFCBANK
2026-05-23 07:35:18,282 | DEBUG    | market_data.transformation | transform       | Transforming HDFCBANK
2026-05-23 07:35:18,282 | DEBUG    | market_data.extraction | extract         | Extracting Meta for [HDFCBANK]
2026-05-23 07:35:18,282 | INFO     | market_data.signals  | generate_signal | [HDFCBANK] Signal: HOLD (score: 45.50, sector: Industrials)
2026-05-23 07:35:18,282 | INFO     | market_data.processor | process         | ✓ HDFCBANK complete
2026-05-23 07:35:18,282 | INFO     | market_data.processor | process         | Progress: 33/97 (34.0%) - Current: HDFCLIFE
2026-05-23 07:35:18,282 | DEBUG    | market_data.transformation | transform       | Transforming HDFCLIFE
