2026-05-17 01:59:57 | STEP1-FETCH | INFO     |   [CapEx Screener] GRSE: trying https://www.screener.in/api/v2/companies/grse/financials/cash-flow/
2026-05-17 01:59:58 | STEP1-FETCH | INFO     |   [CapEx Screener] GRSE: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:58 | STEP1-FETCH | INFO     |   [CapEx Screener] HAL: trying https://www.screener.in/api/v2/companies/hal/financials/cash-flow/
2026-05-17 01:59:59 | STEP1-FETCH | INFO     |   [CapEx Screener] HAL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:00 | STEP1-FETCH | INFO     |   [CapEx Screener] HBLENGINE: trying https://www.screener.in/api/v2/companies/hblengine/financials/cash-flow/
2026-05-17 02:00:00 | STEP1-FETCH | INFO     |   [CapEx Screener] HBLENGINE: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:01 | STEP1-FETCH | INFO     |   [CapEx Screener] HCLTECH: trying https://www.screener.in/api/v2/companies/hcltech/financials/cash-flow/
2026-05-17 02:00:02 | STEP1-FETCH | INFO     |   [CapEx Screener] HCLTECH: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:02 | STEP1-FETCH | INFO     |   [CapEx Screener] HDFCBANK: trying https://www.screener.in/api/v2/companies/hdfcbank/financials/cash-flow/
2026-05-17 02:00:03 | STEP1-FETCH | INFO     |   [CapEx Screener] HDFCBANK: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:04 | STEP1-FETCH | INFO     |   [CapEx Screener] HDFCLIFE: trying https://www.screener.in/api/v2/companies/hdfclife/financials/cash-flow/
2026-05-17 02:00:04 | STEP1-FETCH | INFO     |   [CapEx Screener] HDFCLIFE: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:05 | STEP1-FETCH | INFO     |   [CapEx Screener] HEBL: trying https://www.screener.in/api/v2/companies/highene/financials/cash-flow/
2026-05-17 02:00:05 | STEP1-FETCH | INFO     |   [CapEx Screener] HEBL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:06 | STEP1-FETCH | INFO     |   [CapEx Screener] HINDCOPPER: trying https://www.screener.in/api/v2/companies/hindcopper/financials/cash-flow/
2026-05-17 02:00:07 | STEP1-FETCH | INFO     |   [CapEx Screener] HINDCOPPER: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:07 | STEP1-FETCH | INFO     |   [CapEx Screener] HINDZINC: trying https://www.screener.in/api/v2/companies/hindzinc/financials/cash-flow/
2026-05-17 02:00:08 | STEP1-FETCH | INFO     |   [CapEx Screener] HINDZINC: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:08 | STEP1-FETCH | INFO     |   [CapEx Screener] HIRECT: trying https://www.screener.in/api/v2/companies/hirect/financials/cash-flow/
2026-05-17 02:00:09 | STEP1-FETCH | INFO     |   [CapEx Screener] HIRECT: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 02:00:09 | STEP1-FETCH | INFO     |   [CapEx Screener] ICICIBANK: trying https://www.screener.in/api/v2/companies/icicibank/financials/cash-flow/
